# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   19   17 -16.15  -0.22  0.059 -0.011  0.000
   19   18 -24.03  -0.11  0.060 -0.011 -0.001
   19   19 -28.08  -0.30  0.051 -0.016  0.000
   19   20 -33.15  -0.59  0.016 -0.001  0.000
   19   21 -33.71  -0.14  0.044  0.004 -0.002
   19   22 -36.27   0.01  0.060 -0.006 -0.006
   19   23 -35.99  -0.06  0.070 -0.019 -0.002
   19   24 -37.58  -0.37  0.068 -0.018 -0.003
   19   25 -36.59  -0.93  0.065 -0.018 -0.003
   19   26 -37.42  -1.73  0.062 -0.017 -0.003
   19   27 -35.69  -2.64  0.042 -0.018  0.003
   19   28 -35.66  -3.73  0.011 -0.001  0.000
   19   29 -31.69  -3.37  0.031  0.000 -0.002
   19   30 -29.28  -3.09  0.043 -0.002 -0.002
   19   31 -24.51  -2.83  0.031 -0.009 -0.001
   19   32 -21.25  -2.62  0.011 -0.001 -0.001
   19   33 -15.08  -1.75  0.025  0.006  0.001
   19   34 -10.42  -0.98  0.048  0.001  0.000
   19   35  -3.78  -0.39  0.053 -0.002 -0.003
   19   36   1.35   0.10  0.059 -0.002 -0.013
   19   37   8.40   0.44  0.071 -0.021 -0.001
   19   38  14.03   0.72  0.052 -0.018  0.001
   19   39  21.51   0.87  0.025 -0.008  0.000
   19   40  27.47   0.85  0.008  0.000  0.000
   19   41  35.75   1.23  0.025  0.008 -0.001
   19   42  42.46   1.38  0.043  0.004 -0.004
   19   43  50.83   1.32  0.055 -0.001 -0.007
